Q. No.,Name / Link,"Likes
(L)",Difficulty
1346.0,Check If N and Its Double Exist,2512.0,Easy
89.0,Gray Code,2509.0,Medium
1314.0,Matrix Block Sum,2501.0,Medium
419.0,Battleships in a Board,2499.0,Medium
1304.0,Find N Unique Integers Sum up to Zero,2480.0,Easy
956.0,Tallest Billboard,2461.0,Hard
920.0,Number of Music Playlists,2461.0,Hard
1870.0,Minimum Speed to Arrive on Time,2441.0,Medium
2218.0,Maximum Value of K Coins From Piles,2439.0,Hard
1328.0,Break a Palindrome,2433.0,Medium
917.0,Reverse Only Letters,2427.0,Easy
988.0,Smallest String Starting From Leaf,2407.0,Medium
1859.0,Sorting the Sentence,2384.0,Easy
1331.0,Rank Transform of an Array,2372.0,Easy
1877.0,Minimize Maximum Pair Sum in Array,2362.0,Medium
1381.0,Design a Stack With Increment Operation,2361.0,Medium
2265.0,Count Nodes Equal to Average of Subtree,2350.0,Medium
436.0,Find Right Interval,2350.0,Medium
475.0,Heaters,2342.0,Medium
1380.0,Lucky Numbers in a Matrix,2334.0,Easy
477.0,Total Hamming Distance,2298.0,Medium
1822.0,Sign of the Product of an Array,2286.0,Easy
1389.0,Create Target Array in the Given Order,2274.0,Easy
2225.0,Find Players With Zero or One Losses,2260.0,Medium
1833.0,Maximum Ice Cream Bars,2254.0,Medium
1361.0,Validate Binary Tree Nodes,2247.0,Medium
432.0,All O`one Data Structure,2220.0,Hard
937.0,Reorder Data in Log Files,2192.0,Medium
1352.0,Product of the Last K Numbers,2149.0,Medium
985.0,Sum of Even Numbers After Queries,2135.0,Medium
1318.0,Minimum Flips to Make a OR b Equal to c,2132.0,Medium
975.0,Odd Even Jump,2110.0,Hard
978.0,Longest Turbulent Subarray,2109.0,Medium
1354.0,Construct Target Array With Multiple Sums,2109.0,Hard
939.0,Minimum Area Rectangle,2098.0,Medium
2235.0,Add Two Integers,2091.0,Easy
1310.0,XOR Queries of a Subarray,2089.0,Medium
944.0,Delete Columns to Make Sorted,2056.0,Easy
995.0,Minimum Number of K Consecutive Bit Flips,2053.0,Hard
1814.0,Count Nice Pairs in an Array,2036.0,Medium
1378.0,Replace Employee ID With The Unique Identifier,1989.0,Easy
965.0,Univalued Binary Tree,1976.0,Easy
490.0,The Maze,1923.0,Medium
2272.0,Substring With Largest Variance,1917.0,Hard
914.0,X of a Kind in a Deck of Cards,1899.0,Easy
458.0,Poor Pigs,1866.0,Hard
961.0,N-Repeated Element in Size 2N Array,1846.0,Easy
940.0,Distinct Subsequences II,1822.0,Hard
2226.0,Maximum Candies Allocated to K Children,1815.0,Medium
1343.0,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,1813.0,Medium
2251.0,Number of Flowers in Full Bloom,1809.0,Hard
1379.0,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,1808.0,Easy
500.0,Keyboard Row,1805.0,Easy
1871.0,Jump Game VII,1800.0,Medium
1400.0,Construct K Palindrome Strings,1792.0,Medium
2279.0,Maximum Bags With Full Capacity of Rocks,1766.0,Medium
915.0,Partition Array into Disjoint Intervals,1764.0,Medium
1332.0,Remove Palindromic Subsequences,1741.0,Easy
427.0,Construct Quad Tree,1735.0,Medium
952.0,Largest Component Size by Common Factor,1720.0,Hard
910.0,Smallest Range II,1709.0,Medium
1876.0,Substrings of Size Three with Distinct Characters,1678.0,Easy
2290.0,Minimum Obstacle Removal to Reach Corner,1657.0,Hard
440.0,K-th Smallest in Lexicographical Order,1647.0,Hard
1861.0,Rotating the Box,1624.0,Medium
1394.0,Find Lucky Integer in an Array,1613.0,Easy
1309.0,Decrypt String from Alphabet to Integer Mapping,1605.0,Easy
487.0,Max Consecutive Ones II,1602.0,Medium
969.0,Pancake Sorting,1596.0,Medium
2220.0,Minimum Bit Flips to Convert Number,1585.0,Easy
1886.0,Determine Whether Matrix Can Be Obtained By Rotation,1585.0,Easy
401.0,Binary Watch,1575.0,Easy
936.0,Stamping The Sequence,1575.0,Hard
1392.0,Longest Happy Prefix,1571.0,Hard
954.0,Array of Doubled Pairs,1570.0,Medium
2256.0,Minimum Average Difference,1568.0,Medium
1366.0,Rank Teams by Votes,1562.0,Medium
2236.0,Root Equals Sum of Children,1559.0,Easy
957.0,Prison Cells After N Days,1559.0,Medium
1856.0,Maximum Subarray Min-Product,1547.0,Medium
1884.0,Egg Drop With 2 Eggs and N Floors,1540.0,Medium
2221.0,Find Triangular Sum of an Array,1537.0,Medium
1854.0,Maximum Population Year,1535.0,Easy
465.0,Optimal Account Balancing,1527.0,Hard
467.0,Unique Substrings in Wraparound String,1527.0,Medium
943.0,Find the Shortest Superstring,1515.0,Hard
