Template,Variation Rank (Most asked first),Name / Link,Difficulty,"Likes
(L)"
Binary Search,1.0,Search in Rotated Sorted Array,Medium,29666.0
Binary Search,2.0,Search Insert Position,Easy,18584.0
Binary Search,3.0,Validate Binary Search Tree,Medium,18244.0
Binary Search,4.0,Search a 2D Matrix,Medium,17724.0
Binary Search,5.0,Word Search,Medium,17524.0
Binary Search,6.0,Unique Binary Search Trees,Medium,10965.0
Binary Search,7.0,Search in Rotated Sorted Array II,Medium,9539.0
Binary Search,8.0,Recover Binary Search Tree,Medium,8546.0
Binary Search,9.0,Unique Binary Search Trees II,Medium,7929.0
Binary Search,10.0,Balance a Binary Search Tree,Medium,4144.0
Binary Search,11.0,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,2728.0
DFS/BFS,1.0,Binary Tree Inorder Traversal,Easy,14789.0
DFS/BFS,2.0,Same Tree,Easy,12774.0
DFS/BFS,3.0,Vertical Order Traversal of a Binary Tree,Hard,8569.0
DFS/BFS,4.0,Island Perimeter,Easy,7268.0
DFS/BFS,5.0,Distribute Coins in Binary Tree,Medium,6054.0
DFS/BFS,6.0,Binary Tree Cameras,Hard,5633.0
DFS/BFS,7.0,Check Completeness of a Binary Tree,Medium,4527.0
DFS/BFS,8.0,Cousins in Binary Tree,Easy,4307.0
DFS/BFS,9.0,Regions Cut By Slashes,Medium,3981.0
DFS/BFS,10.0,N-ary Tree Level Order Traversal,Medium,3740.0
DFS/BFS,11.0,Longest ZigZag Path in a Binary Tree,Medium,3738.0
DFS/BFS,12.0,Maximum Product of Splitted Binary Tree,Medium,3566.0
DFS/BFS,13.0,Linked List in Binary Tree,Medium,3020.0
DFS/BFS,14.0,Flip Equivalent Binary Trees,Medium,2880.0
DFS/BFS,15.0,Largest Color Value in a Directed Graph,Hard,2610.0
Dynamic Programming,1.0,Climbing Stairs,Easy,24256.0
Dynamic Programming,2.0,Jump Game,Medium,21566.0
Dynamic Programming,3.0,Unique Paths,Medium,18227.0
Dynamic Programming,4.0,Jump Game II,Medium,16339.0
Dynamic Programming,5.0,Unique Paths II,Medium,9617.0
Dynamic Programming,6.0,Simplify Path,Medium,6476.0
Dynamic Programming,7.0,Frog Jump,Hard,5962.0
Dynamic Programming,8.0,Unique Paths III,Hard,5468.0
Dynamic Programming,9.0,Jump Game III,Medium,4327.0
Dynamic Programming,10.0,Arranging Coins,Easy,4304.0
Dynamic Programming,11.0,Jump Game IV,Hard,3861.0
Dynamic Programming,12.0,Longest Path With Different Adjacent Characters,Hard,2531.0
HashMap/Frequency,1.0,Reverse Nodes in k-Group,Hard,15501.0
HashMap/Frequency,2.0,Sort Characters By Frequency,Medium,9153.0
HashMap/Frequency,3.0,Frequency of the Most Frequent Element,Medium,5682.0
Intervals,1.0,Merge Intervals,Medium,24415.0
Intervals,2.0,Insert Interval,Medium,11725.0
Intervals,3.0,Non-overlapping Intervals,Medium,9053.0
Intervals,4.0,Interval List Intersections,Medium,5894.0
Matrix Traversal,1.0,Spiral Matrix,Medium,17235.0
Matrix Traversal,2.0,Set Matrix Zeroes,Medium,16941.0
Matrix Traversal,3.0,Spiral Matrix II,Medium,6879.0
Matrix Traversal,4.0,Count Negative Numbers in a Sorted Matrix,Easy,5469.0
Matrix Traversal,5.0,The K Weakest Rows in a Matrix,Easy,4330.0
Matrix Traversal,6.0,Sort the Matrix Diagonally,Medium,3565.0
Matrix Traversal,7.0,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,2583.0
Other,1.0,Trapping Rain Water,Hard,36001.0
Other,2.0,Find First and Last Position of Element in Sorted Array,Medium,23052.0
Other,3.0,Sort Colors,Medium,21350.0
Other,4.0,Next Permutation,Medium,21152.0
Other,5.0,Merge k Sorted Lists,Hard,21147.0
Other,6.0,Remove Nth Node From End of List,Medium,21057.0
Other,7.0,Longest Common Prefix,Easy,21008.0
Other,8.0,Letter Combinations of a Phone Number,Medium,20747.0
Other,9.0,Permutations,Medium,20706.0
Other,10.0,Rotate Image,Medium,19690.0
Other,11.0,Largest Rectangle in Histogram,Hard,19402.0
Other,12.0,Subsets,Medium,19045.0
Other,13.0,Remove Duplicates from Sorted Array,Easy,18692.0
Other,14.0,Merge Sorted Array,Easy,18647.0
Other,15.0,First Missing Positive,Hard,18241.0
Other,16.0,Roman to Integer,Easy,17434.0
Other,17.0,Edit Distance,Medium,16295.0
Other,18.0,Reverse Integer,Medium,15281.0
Other,19.0,Rotting Oranges,Medium,14939.0
Other,20.0,N-Queens,Hard,14155.0
Other,21.0,Regular Expression Matching,Hard,13224.0
Other,22.0,Reverse Linked List II,Medium,12826.0
Other,23.0,Longest Repeating Character Replacement,Medium,12821.0
Other,24.0,Decode Ways,Medium,12804.0
Other,25.0,Valid Sudoku,Medium,12366.0
Other,26.0,Maximal Rectangle,Hard,11994.0
Other,27.0,Plus One,Easy,11658.0
Other,28.0,"Pow(x, n)",Medium,11534.0
Other,29.0,Rotate List,Medium,11130.0
Other,30.0,Find All Duplicates in an Array,Medium,11089.0
Other,31.0,Sudoku Solver,Hard,10985.0
Other,32.0,Subsets II,Medium,10836.0
Other,33.0,Remove K Digits,Medium,10502.0
Other,34.0,Add Binary,Easy,10416.0
Other,35.0,Delete Node in a BST,Medium,10325.0
Other,36.0,Find All Numbers Disappeared in an Array,Easy,10270.0
Other,37.0,Squares of a Sorted Array,Easy,10139.0
Other,38.0,Remove Duplicates from Sorted List,Easy,9760.0
Other,39.0,Next Greater Element I,Easy,9688.0
Other,40.0,Remove Duplicates from Sorted List II,Medium,9602.0
Other,41.0,Sqrt(x),Easy,9557.0
Other,42.0,Zigzag Conversion,Medium,9213.0
Other,43.0,Permutations II,Medium,9093.0
Other,44.0,Wildcard Matching,Hard,9063.0
Other,45.0,K Closest Points to Origin,Medium,9018.0
Other,46.0,Combinations,Medium,8862.0
Other,47.0,Interleaving String,Medium,8802.0
Other,48.0,Minimum Cost For Tickets,Medium,8776.0
Other,49.0,Pacific Atlantic Water Flow,Medium,8643.0
Other,50.0,Integer to Roman,Medium,8445.0
Other,51.0,Remove Duplicates from Sorted Array II,Medium,8158.0
Other,52.0,Minimum Number of Arrows to Burst Balloons,Medium,8035.0
Other,53.0,Partition List,Medium,7984.0
Other,54.0,Multiply Strings,Medium,7683.0
Other,55.0,132 Pattern,Medium,7589.0
Other,56.0,Find the Index of the First Occurrence in a String,Easy,7476.0
Other,57.0,Queue Reconstruction by Height,Medium,7236.0
Other,58.0,Permutation Sequence,Hard,7200.0
Other,59.0,Online Stock Span,Medium,7173.0
Other,60.0,Sort an Array,Medium,7162.0
Other,61.0,Find the Town Judge,Easy,6936.0
Other,62.0,Max Consecutive Ones,Easy,6753.0
Other,63.0,Most Stones Removed with Same Row or Column,Medium,6407.0
Other,64.0,Length of Last Word,Easy,6316.0
Other,65.0,LFU Cache,Hard,6285.0
Other,66.0,Predict the Winner,Medium,6149.0
Other,67.0,String Compression,Medium,6118.0
Other,68.0,Fruit Into Baskets,Medium,6092.0
Other,69.0,String to Integer (atoi),Medium,6067.0
Other,70.0,Ones and Zeroes,Medium,6057.0
Other,71.0,How Many Numbers Are Smaller Than the Current Number,Easy,5972.0
Other,72.0,Shortest Bridge,Medium,5758.0
Other,73.0,Sort Array By Parity,Easy,5665.0
Other,74.0,Arithmetic Slices,Medium,5620.0
Other,75.0,Restore IP Addresses,Medium,5615.0
